"","order","judge_num","dataset","case_outcome","judge_vote","lower_dir","name","judge_full","circuit","confirm_yr","appt_pres","gender_judge","party_judge","jcs","year_birth","race_judge","jud_experience","minority_judge","dec_year","num_fem","mow_sex","abs_jcs"
"329",4478,3,"title7","Liberal","Conservative","Conservative","Blow v. City of San Antonio","Garza, Emilio M.","5",1991,"Bush I","Male","Republican",0.532000005245209,1947,"Hispanic","Experienced","Minority",2001,0,0,0.133249998092651
"330",4605,2,"title7","Conservative","Conservative","Conservative","Bogren v. Minnesota","Ross, Donald Roe","8",1970,"Nixon","Male","Republican",0.46900001168251,1922,"White","No experience","White",2000,0,0,0.329750001430511
"331",4605,1,"title7","Conservative","Conservative","Conservative","Bogren v. Minnesota","Loken, James B.","8",1990,"Bush I","Male","Republican",0.124499998986721,1940,"White","No experience","White",2000,0,0,0.0147499963641167
"332",4477,2,"title7","Liberal","Liberal","Liberal","Brown v. Kinney Shoe Corp","Smith, Jerry Edwin","5",1987,"Reagan","Male","Republican",0.532000005245209,1946,"White","No experience","White",2001,0,0,0.133249998092651
"333",4477,3,"title7","Liberal","Liberal","Liberal","Brown v. Kinney Shoe Corp","Barksdale, Rhesa H.","5",1990,"Bush I","Male","Republican",0.32600000500679,1944,"White","No experience","White",2001,0,0,0.0727500021457672
"334",4604,3,"title7","Conservative","Conservative","Conservative","Robinson v. Valmont Industries","Bye, Kermit Edward","8",2000,"Clinton","Male","Democrat",-0.24549999833107,1937,"White","No experience","White",2001,1,0,0.392499983310699
"335",4604,2,"title7","Conservative","Conservative","Conservative","Robinson v. Valmont Industries","Murphy, Diana E.","8",1994,"Clinton","Female","Democrat",-0.625999987125397,1934,"White","Experienced","White",2001,1,0,0.773000001907349
"336",4657,3,"title7","Conservative","Conservative","Conservative","Hollins v. Delta Airlines","Kane, John L. Jr.","10",1977,"Carter","Male","Democrat",-0.413500010967255,1937,"White","No experience","White",2001,1,1,0.654000043869019
"337",4657,2,"title7","Conservative","Conservative","Conservative","Hollins v. Delta Airlines","Murphy, Michael R.","10",1995,"Clinton","Male","Democrat",-0.441000014543533,1947,"White","No experience","White",2001,1,1,0.681500017642975
"338",4681,3,"title7","Liberal","Liberal","Liberal","Crapp v. City of Miami Beach Police","Cox, Emmett Ripley","11",1988,"Reagan","Male","Republican",0.566999971866608,1935,"White","Experienced","White",2001,1,1,0.237999975681305
"339",4681,1,"title7","Liberal","Liberal","Liberal","Crapp v. City of Miami Beach Police","Wilson, Charles R.","11",1999,"Clinton","Male","Democrat",-0.238000005483627,1954,"Black","No experience","Minority",2001,1,1,0.567000031471252
"340",4455,1,"title7","Liberal","Liberal","Conservative","Spriggs v. Diamond Auto Glass","Luttig, J. Michael","4",1991,"Bush I","Male","Republican",0.25,1954,"White","No experience","White",2001,0,0,0.0065000057220459
"341",4455,3,"title7","Liberal","Liberal","Conservative","Spriggs v. Diamond Auto Glass","Hamilton, Clyde H.","4",1991,"Bush I","Male","Republican",0.409999996423721,1934,"White","Experienced","White",2001,0,0,0.153499990701675
"342",4680,2,"title7","Conservative","Conservative","Liberal","Silvera v. Orange Cty Sch.Bd.","Roney, Paul Hitch","11",1970,"Nixon","Male","Republican",0.351999998092651,1921,"White","No experience","White",2001,0,0,0.0230000019073486
"343",4680,3,"title7","Conservative","Conservative","Liberal","Silvera v. Orange Cty Sch.Bd.","O'Kelley, William Clark","11",1970,"Nixon","Male","Republican",0.421999990940094,1930,"White","No experience","White",2001,0,0,0.0929999947547913
"344",4647,2,"title7","Conservative","Conservative","Conservative","Owens v. Kaiser Foundation Health Plan","Brunetti, Melvin T.","9",1985,"Reagan","Male","Republican",0.476500004529953,1933,"White","No experience","White",2001,0,0,0.77649998664856
"345",4647,3,"title7","Conservative","Conservative","Conservative","Owens v. Kaiser Foundation Health Plan","Hawkins, Michael Daly","9",1994,"Clinton","Male","Democrat",-0.152999997138977,1945,"White","No experience","White",2001,0,0,0.147000014781952
"346",4602,3,"title7","Conservative","Conservative","Liberal","Inmon v. Arkansas Dept of Corrections","Loken, James B.","8",1990,"Bush I","Male","Republican",0.124499998986721,1940,"White","No experience","White",2001,0,0,0.0225000008940697
